keyword,volume,kd,intent,source,target_url
further maths a level,1900,33,informational,strategy-csv,https://www.past-papers.co.uk/a-level/further-maths
physics paper 2 topics,1900,22,informational,strategy-csv,https://www.past-papers.co.uk/a-level/physics/aqa
chemistry paper 1 aqa,1900,28,informational,strategy-csv,https://www.past-papers.co.uk/a-level/chemistry/aqa
aqa chemistry spec,1900,32,navigational,strategy-csv,https://www.past-papers.co.uk/a-level/chemistry/aqa
chem aqa spec,1900,34,"informational, transactional",strategy-csv,https://www.past-papers.co.uk/a-level/chemistry/aqa
gce a level economics,1900,35,informational,strategy-csv,https://www.past-papers.co.uk/gcse/economics/aqa
fractional indices,1900,25,informational,strategy-csv,https://www.past-papers.co.uk/gcse/maths/edexcel/number/laws-of-indices
what a prime number is,1900,53,informational,strategy-csv,https://www.past-papers.co.uk/gcse/maths/edexcel/number/prime-numbers
prime numbers from 1 to 100,1900,56,informational,strategy-csv,https://www.past-papers.co.uk/gcse/maths/edexcel/number/prime-numbers
history past papers,1900,27,"informational, commercial",strategy-csv,https://www.past-papers.co.uk/gcse/history/aqa
how many degrees in a triangle,1900,50,informational,strategy-csv,https://www.past-papers.co.uk/gcse/maths/edexcel/geometry/angles-in-triangles
depreciation meaning,1900,40,informational,strategy-csv,https://www.past-papers.co.uk/gcse/maths/edexcel/number/depreciation
how to work out probability,1900,47,informational,strategy-csv,https://www.past-papers.co.uk/gcse/maths/edexcel/probability
probability formula,1900,68,informational,strategy-csv,https://www.past-papers.co.uk/gcse/maths/edexcel/probability
what are prime factorisation,1900,48,informational,strategy-csv,https://www.past-papers.co.uk/gcse/maths/edexcel/number/prime-factorisation
hard maths questions,1900,36,"informational, commercial",strategy-csv,https://www.past-papers.co.uk/gcse/maths/ocr/number
economics as and a level,1900,32,"informational, commercial",strategy-csv,https://www.past-papers.co.uk/a-level/economics
a level chemistry periodic table,1900,23,informational,strategy-csv,https://www.past-papers.co.uk/a-level/chemistry/edexcel
how do i find a ratio,1900,47,informational,strategy-csv,https://www.past-papers.co.uk/gcse/maths/ocr/ratio
how to calculate ratio,1900,50,informational,strategy-csv,https://www.past-papers.co.uk/gcse/maths/ocr/ratio
how do i figure out a ratio,1900,50,informational,strategy-csv,https://www.past-papers.co.uk/gcse/maths/ocr/ratio
how to figure ratios,1900,53,informational,strategy-csv,https://www.past-papers.co.uk/gcse/maths/ocr/ratio
a in maths a level,1900,28,informational,strategy-csv,https://www.past-papers.co.uk/a-level/maths
